,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
160,10.0,0.9303500541320823,11131,4,0.20286582893002802,41497,0.52,0.25769230769230766,0.13399999999999998
161,9.0,0.9210076857386849,11598,4,0.22508308527663864,42991,0.496,0.2540322580645161,0.126
162,8.0,0.9117100371747212,11199,4,0.24599499395623106,41194,0.52,0.2692307692307692,0.13999999999999999
163,7.0,0.9045147898287493,11126,4,0.2638770213651618,41092,0.494,0.2550607287449393,0.126
164,6.0,0.8886168910648715,11026,4,0.2848252266816929,39939,0.498,0.26907630522088355,0.134
165,5.0,0.8694362017804155,11001,5,0.3331134476945229,40145,0.514,0.3151750972762646,0.162
166,4.0,0.8647166361974405,10899,5,0.3693356884830674,39894,0.47,0.3702127659574468,0.174
167,3.0,0.8110497237569061,10710,6,0.4283191708055772,39169,0.52,0.3423076923076923,0.17800000000000002
168,2.0,0.7619047619047619,10567,5,0.45803752446826135,37756,0.53,0.3018867924528302,0.16
169,1.0,0.7807017543859649,10592,5,0.5439947462914495,40591,0.524,0.42748091603053434,0.224
170,10.0,0.9206408345752608,11286,4,0.2113102839456869,42407,0.52,0.18076923076923077,0.094
171,9.0,0.9196608800968914,11222,5,0.23309111036920152,41835,0.508,0.21653543307086615,0.11
172,8.0,0.9081541218637993,11250,4,0.24378318222222223,42021,0.51,0.19607843137254902,0.1
173,7.0,0.8981581798483207,11365,4,0.2561217869869694,41596,0.468,0.19658119658119658,0.092
174,6.0,0.8774279973208305,11194,5,0.2964465620684452,40521,0.45,0.18666666666666668,0.084
175,5.0,0.8792569659442725,11250,5,0.33587801283950613,40709,0.55,0.2909090909090909,0.16
176,4.0,0.8380090497737557,11099,5,0.3576693929295808,40345,0.484,0.2603305785123967,0.126
177,3.0,0.7972116603295311,10721,5,0.39631248489372806,38095,0.45,0.28888888888888886,0.13
178,2.0,0.7714748784440842,10540,6,0.4598790907683389,38896,0.428,0.3411214953271028,0.146
179,1.0,0.8142076502732241,10914,6,0.576490187716792,44277,0.534,0.49063670411985016,0.262
180,10.0,0.9327938071780436,11278,4,0.22253030277919392,42218,0.506,0.2450592885375494,0.124
181,9.0,0.9279119318181818,11504,4,0.22604144098877868,42670,0.54,0.24814814814814815,0.134
182,8.0,0.9067245119305857,11445,5,0.2484428633838856,42317,0.536,0.19776119402985073,0.106
183,7.0,0.8947368421052632,11216,4,0.2664431565946141,41447,0.504,0.2222222222222222,0.11199999999999999
184,6.0,0.8737179487179487,11088,4,0.2863151377592665,40417,0.478,0.17573221757322174,0.08399999999999999
185,5.0,0.8544747081712062,11079,6,0.32999946612566533,40665,0.506,0.2608695652173913,0.132
186,4.0,0.8484602917341977,11281,5,0.360721305569899,40844,0.548,0.3175182481751825,0.17400000000000002
187,3.0,0.8223140495867769,10734,5,0.4110425302630415,38895,0.416,0.3798076923076923,0.15799999999999997
188,2.0,0.7967032967032966,10362,5,0.4984412464127665,39111,0.502,0.4103585657370518,0.20600000000000002
189,1.0,0.7299270072992701,10445,7,0.5624192921915864,39207,0.54,0.3148148148148148,0.17
190,10.0,0.9218422889043963,11666,4,0.20443588914835692,43632,0.55,0.18545454545454546,0.10200000000000001
191,9.0,0.9116977696859354,11310,4,0.21913899032256304,42273,0.478,0.18828451882845187,0.09
192,8.0,0.9195093905711,11420,5,0.24063196806536596,42569,0.526,0.20152091254752852,0.10600000000000001
193,7.0,0.8986784140969163,11240,5,0.258081837869328,41466,0.418,0.22966507177033493,0.096
194,6.0,0.8863198458574181,11098,5,0.292199671265364,40415,0.498,0.2891566265060241,0.144
195,5.0,0.8572395128552097,10983,4,0.31680921560970843,39743,0.534,0.20973782771535582,0.11200000000000002
196,4.0,0.8278688524590164,10848,5,0.3591551393865133,39017,0.454,0.2599118942731278,0.11800000000000001
197,3.0,0.756,10741,5,0.4123098804956243,38728,0.476,0.23109243697478993,0.11
198,2.0,0.7997054491899853,10725,5,0.49041294928847373,41493,0.452,0.39823008849557523,0.18000000000000002
199,1.0,0.7560606060606061,10418,6,0.5471754458969279,39080,0.556,0.420863309352518,0.234
200,10.0,0.9276613234689683,11596,4,0.21334431434945456,43442,0.49,0.2816326530612245,0.13799999999999998
