,contact_rate_host_host,fitnessHost,mutant_frac,mut_frac_inf_hosts,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,pwd_genomes,mut_frac_hosts
133,0.168,0.316,0.6004728132387707,0.19523809523809524,8063,5,0.393045317547604,21750,0.42,2.683673469387755,0.082
134,0.168,0.263,0.5802469135802469,0.19811320754716982,7405,5,0.3348547548716331,16999,0.424,2.766785661890557,0.084
135,0.168,0.211,0.5973451327433629,0.1574074074074074,7453,4,0.28468101790676825,15320,0.432,2.526418928726956,0.068
136,0.168,0.158,0.46831955922865015,0.06310679611650485,6942,4,0.21624009231197527,12247,0.412,2.2333727810650887,0.026
137,0.168,0.105,0.449438202247191,0.057692307692307696,6799,3,0.14744011760725217,10133,0.416,2.258251448727639,0.024
138,0.168,0.053,0.377431906614786,0.06976744186046512,6273,3,0.07833155178167998,7828,0.344,1.9926953981008035,0.023999999999999997
139,0.168,0.0,0.3378839590443686,0.0,5991,1,0.00016688918093102478,5990,0.388,1.9585756555453526,0.0
140,0.163,1.0,1.0,1.0,8895,28,34.316240341931874,1055193,0.358,28.04795061914261,0.358
141,0.163,0.947,1.0,1.0,9246,18,11.415674837541921,604937,0.422,11.222079502433749,0.422
142,0.163,0.895,1.0,1.0,9408,16,10.41335694500483,476437,0.37,13.5732421875,0.37
143,0.163,0.842,1.0,1.0,8999,13,4.476403120737903,259693,0.382,9.366346673877771,0.382
144,0.163,0.789,1.0,1.0,9054,11,4.3042580122924425,218625,0.37,8.936477423213294,0.37
145,0.163,0.737,1.0,1.0,8969,12,3.012907095749496,168113,0.368,7.12957402889848,0.368
146,0.163,0.684,1.0,1.0,9178,8,1.493970797459186,106956,0.372,5.202739197530864,0.372
147,0.163,0.632,0.8813559322033898,0.7307692307692307,9003,8,1.2614298695577166,66128,0.364,4.112787712265213,0.26599999999999996
148,0.163,0.579,0.8284883720930233,0.650887573964497,8589,7,0.920415620133033,46713,0.338,4.026920438957476,0.22
149,0.163,0.526,0.7986111111111112,0.5876777251184834,8473,7,0.785496529830059,38190,0.422,3.9205271364619487,0.24799999999999997
150,0.163,0.474,0.7855153203342619,0.5674157303370787,8288,6,0.6431235971949956,32801,0.356,3.3327883472057076,0.202
151,0.163,0.421,0.7542372881355932,0.4727272727272727,8241,6,0.5508636419596107,28839,0.33,3.3538027411986024,0.156
152,0.163,0.368,0.721763085399449,0.4093567251461988,8085,6,0.5233486047480217,26763,0.342,3.100591715976331,0.14
153,0.163,0.316,0.6076696165191741,0.3,7858,5,0.3995338225764899,21082,0.38,2.6330555555555555,0.11399999999999999
154,0.163,0.263,0.640117994100295,0.2988505747126437,7582,5,0.356283252460168,18501,0.348,2.8627450980392157,0.104
155,0.163,0.211,0.5180722891566265,0.13978494623655913,7085,4,0.2739575743479844,14706,0.372,2.270655493773984,0.052
